um_class,idonly,idonly,major,major,major,minor,minor,minor,ophiolite,ophiolite,ophiolite,major_total,ophiolite_total
conf,high,medium,high,low,medium,high,low,medium,high,low,medium,,
ADMIN,,,,,,,,,,,,,
Turkey,0.002,0.0,0.0,0.0,2.459,0.0,0.0,0.0,0.0,0.79,1.645,2.459,2.435
Russia,0.0,0.0,0.0,0.0,2.278,0.0,1.35,0.0,0.0,3.731,0.096,2.278,3.827
Papua New Guinea,0.0,0.0,0.0,1.722,0.0,0.0,1.807,0.0,0.0,0.203,1.348,1.722,1.551
United States of America,0.17,0.0,1.448,0.0,0.115,0.157,0.18,0.0,0.0,3.252,0.84,1.564,4.092
Canada,0.487,0.003,1.324,0.0,0.215,0.579,0.809,41.925,0.001,1.585,0.762,1.538,2.348
Brazil,0.0,0.0,1.468,0.0,0.0,17.292,0.078,0.0,0.0,0.0,0.0,1.468,0.0
Australia,0.022,0.0,1.107,0.0,0.353,0.0,6.867,0.0,0.0,0.215,0.0,1.46,0.215
Spain,0.0,0.0,0.453,0.0,0.093,0.0,0.0,0.0,0.0,0.181,0.0,0.546,0.181
New Caledonia,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0.223,0.48,0.8
Greece,0.0,0.0,0.0,0.0,0.437,0.0,0.169,0.0,0.0,0.052,0.002,0.437,0.054
Albania,0.0,0.0,0.0,0.0,0.407,0.0,0.086,0.0,0.0,0.047,0.097,0.407,0.144
Zimbabwe,0.0,0.0,0.0,0.0,0.38,0.0,1.954,0.0,0.0,0.253,0.0,0.38,0.253
Italy,0.0,0.0,0.022,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.206,0.358,0.206
South Africa,0.0,0.0,0.0,0.0,0.339,0.0,2.026,0.0,0.0,0.0,0.0,0.339,0.0
Austria,0.0,0.0,0.0,0.0,0.313,0.027,0.0,0.0,0.0,0.0,0.0,0.313,0.0
Switzerland,0.0,0.0,0.009,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.058,0.297,0.058
Republic of Serbia,0.0,0.0,0.0,0.0,0.253,0.0,0.055,0.0,0.0,0.198,0.143,0.253,0.34
Guinea,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.198,0.0,0.221,0.0,0.0,0.004,0.022,0.198,0.026
Czechia,0.0,0.0,0.0,0.0,0.147,0.001,0.0,0.0,0.0,0.0,0.0,0.147,0.0
Iran,0.09,0.0,0.0,0.0,0.138,0.0,0.733,0.0,0.0,0.0,3.461,0.138,3.461
Botswana,0.0,0.0,0.0,0.0,0.12,0.0,0.001,0.0,0.0,0.0,0.0,0.12,0.0
France,0.0,0.0,0.032,0.0,0.082,0.007,0.0,0.0,0.0,0.0,0.474,0.114,0.474
Norway,0.0,0.0,0.0,0.0,0.109,0.005,0.973,0.0,0.0,0.0,0.425,0.109,0.425
Kazakhstan,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,2.179,0.0,0.108,2.179
Romania,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
Kosovo,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.056,0.024,0.081,0.08
Guinea-Bissau,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
North Macedonia,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0
Oman,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.056,1.81
Armenia,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.021,0.046,0.021
Azerbaijan,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.014,0.034,0.014
