z,x,y
8,2,63
8,2,64
8,2,65
8,4,66
8,4,67
8,5,68
8,5,69
8,6,68
8,6,69
8,7,69
8,10,61
8,11,61
8,12,60
8,12,61
8,12,62
8,12,64
8,12,66
8,12,75
8,12,76
8,13,59
8,13,60
8,13,61
8,13,69
8,13,70
8,13,74
8,13,75
8,13,76
8,14,59
8,14,60
8,14,62
8,14,72
8,14,73
8,15,59
8,15,60
8,15,62
8,15,68
8,15,69
8,15,70
8,16,67
8,16,68
8,16,69
8,17,66
8,17,67
8,17,77
8,17,78
8,18,66
8,18,77
8,18,78
8,19,64
8,19,65
8,19,70
8,19,76
8,20,64
8,20,70
8,20,74
8,20,75
8,21,64
8,21,71
8,21,72
8,21,73
8,21,74
8,22,67
8,22,71
8,22,72
8,22,73
8,22,74
8,23,67
8,23,68
8,23,69
8,23,71
8,23,72
8,24,62
8,24,66
8,24,67
8,24,68
8,24,69
8,24,71
8,25,60
8,25,65
8,25,66
8,25,67
8,25,68
8,25,69
8,25,70
8,25,71
8,26,66
8,26,67
8,26,68
8,26,69
8,26,70
8,27,66
8,27,67
8,27,68
8,27,70
8,27,71
8,28,67
8,28,68
8,28,69
8,28,70
8,28,71
8,29,67
8,29,68
8,29,69
8,29,70
8,29,71
8,30,68
8,30,69
8,30,70
8,30,71
8,31,70
8,32,67
8,32,68
8,32,70
8,32,71
8,32,72
8,32,73
8,32,74
8,32,75
8,32,76
8,32,77
8,32,78
8,33,68
8,33,70
8,33,71
8,33,72
8,33,73
8,33,74
8,33,75
8,33,76
8,33,77
8,33,78
8,33,79
8,33,80
8,33,81
8,34,71
8,34,72
8,34,73
8,34,74
8,34,75
8,34,76
8,34,77
8,34,78
8,34,79
8,34,80
8,34,81
8,35,71
8,35,72
8,35,73
8,35,74
8,35,75
8,35,76
8,35,77
8,35,78
8,35,81
8,36,74
8,36,75
8,36,76
8,36,81
8,37,77
8,38,77
8,38,78
8,38,79
8,38,80
8,38,81
8,39,79
8,39,80
8,39,81
8,39,82
8,39,94
8,39,95
8,40,80
8,40,81
8,40,82
8,40,83
8,40,84
8,40,85
8,40,86
8,40,88
8,40,93
8,40,94
8,40,95
8,40,96
8,40,97
8,40,98
8,40,99
8,41,82
8,41,83
8,41,84
8,41,85
8,41,86
8,41,87
8,41,88
8,41,89
8,41,95
8,41,96
8,41,97
8,41,98
8,41,99
8,41,100
8,42,83
8,42,84
8,42,85
8,42,86
8,42,87
8,42,88
8,42,89
8,42,92
8,42,96
8,42,97
8,42,98
8,42,99
8,42,100
8,42,101
8,43,65
8,43,66
8,43,87
8,43,88
8,43,92
8,43,96
8,43,97
8,43,99
8,43,100
8,43,101
8,43,102
8,44,66
8,44,86
8,44,87
8,44,90
8,44,92
8,44,95
8,44,96
8,44,97
8,44,98
8,45,62
8,45,63
8,45,64
8,45,65
8,45,66
8,45,67
8,45,68
8,45,69
8,45,86
8,45,87
8,45,88
8,45,89
8,45,92
8,46,62
8,46,63
8,46,64
8,46,65
8,46,66
8,46,67
8,46,68
8,46,69
8,46,70
8,46,90
8,47,61
8,47,62
8,47,63
8,47,64
8,47,65
8,47,66
8,47,67
8,47,68
8,47,69
8,47,70
8,47,71
8,47,72
8,47,90
8,48,61
8,48,62
8,48,63
8,48,64
8,48,66
8,48,67
8,48,68
8,48,69
8,48,70
8,48,71
8,48,72
8,48,73
8,48,74
8,49,61
8,49,63
8,49,64
8,49,65
8,49,66
8,49,71
8,49,72
8,49,73
8,49,74
8,50,64
8,50,65
8,50,66
8,50,70
8,50,71
8,50,72
8,50,73
8,50,74
8,51,61
8,51,62
8,51,64
8,51,65
8,51,67
8,51,69
8,51,70
8,51,71
8,51,72
8,51,73
8,51,74
8,52,59
8,52,60
8,52,61
8,52,62
8,52,63
8,52,64
8,52,65
8,52,68
8,52,69
8,52,70
8,52,71
8,52,72
8,52,73
8,52,74
8,53,60
8,53,61
8,53,62
8,53,63
8,53,64
8,53,65
8,53,66
8,53,67
8,53,68
8,53,69
8,53,70
8,53,71
8,53,72
8,53,73
8,53,74
8,54,61
8,54,62
8,54,63
8,54,64
8,54,65
8,54,66
8,54,67
8,54,69
8,54,70
8,54,71
8,54,72
8,54,73
8,54,74
8,55,61
8,55,62
8,55,63
8,55,64
8,55,65
8,55,66
8,55,68
8,55,69
8,55,70
8,55,71
8,55,72
8,55,73
8,55,74
8,56,68
8,56,69
8,56,70
8,56,71
8,56,72
8,56,73
8,56,74
8,56,78
8,57,67
8,57,71
8,57,72
8,57,73
8,57,74
8,57,78
8,58,66
8,58,69
8,58,70
8,58,71
8,58,72
8,58,73
8,58,74
8,58,79
8,59,65
8,59,66
8,59,67
8,59,69
8,59,70
8,59,71
8,59,72
8,59,73
8,59,74
8,60,55
8,60,57
8,60,58
8,60,68
8,60,69
8,60,70
8,60,71
8,60,72
8,60,73
8,60,74
8,60,79
8,61,50
8,61,54
8,61,55
8,61,56
8,61,57
8,61,58
8,61,61
8,61,63
8,61,64
8,61,68
8,61,69
8,61,70
8,61,71
8,61,72
8,61,79
8,62,55
8,62,56
8,62,57
8,62,62
8,62,63
8,62,64
8,62,67
8,62,68
8,62,69
8,62,70
8,62,71
8,62,79
8,63,21
8,63,62
8,63,63
8,63,66
8,63,67
8,63,68
8,63,69
8,63,70
8,64,61
8,64,62
8,64,66
8,65,61
8,65,62
8,65,67
8,65,99
8,66,46
8,66,56
8,66,103
8,67,43
8,67,44
8,67,52
8,67,56
8,67,60
8,67,66
8,67,67
8,67,101
8,67,102
8,67,103
8,68,43
8,68,51
8,68,54
8,68,56
8,68,57
8,68,59
8,68,60
8,68,61
8,68,66
8,68,67
8,68,68
8,68,98
8,68,100
8,68,101
8,68,102
8,68,103
8,69,43
8,69,52
8,69,53
8,69,54
8,69,57
8,69,58
8,69,59
8,69,60
8,69,66
8,69,67
8,69,68
8,69,100
8,69,101
8,69,102
8,70,38
8,70,39
8,70,40
8,70,41
8,70,42
8,70,43
8,70,44
8,70,45
8,70,46
8,70,48
8,70,49
8,70,50
8,70,51
8,70,52
8,70,53
8,70,54
8,70,56
8,70,68
8,70,99
8,70,100
8,71,38
8,71,39
8,71,40
8,71,41
8,71,42
8,71,43
8,71,44
8,71,45
8,71,48
8,71,49
8,71,50
8,71,51
8,71,52
8,71,53
8,71,54
8,71,55
8,71,56
8,71,57
8,71,98
8,71,99
8,71,100
8,72,16
8,72,32
8,72,33
8,72,35
8,72,36
8,72,38
8,72,39
8,72,40
8,72,41
8,72,49
8,72,50
8,72,51
8,72,52
8,72,53
8,72,54
8,72,55
8,72,56
8,72,57
8,72,65
8,72,66
8,72,67
8,72,68
8,72,69
8,72,70
8,72,71
8,72,72
8,72,73
8,72,74
8,72,91
8,72,92
8,72,97
8,72,98
8,72,99
8,72,100
8,73,15
8,73,16
8,73,32
8,73,33
8,73,34
8,73,35
8,73,36
8,73,49
8,73,50
8,73,51
8,73,52
8,73,53
8,73,54
8,73,55
8,73,56
8,73,57
8,73,58
8,73,65
8,73,66
8,73,67
8,73,68
8,73,69
8,73,70
8,73,71
8,73,72
8,73,73
8,73,74
8,73,91
8,73,92
8,73,94
8,73,96
8,73,97
8,74,32
8,74,33
8,74,35
8,74,51
8,74,52
8,74,53
8,74,54
8,74,55
8,74,56
8,74,57
8,74,58
8,74,59
8,74,60
8,74,65
8,74,66
8,74,67
8,74,70
8,74,71
8,74,72
8,74,73
8,74,74
8,74,91
8,74,92
8,74,96
8,74,97
8,75,52
8,75,53
8,75,54
8,75,55
8,75,56
8,75,57
8,75,58
8,75,59
8,75,60
8,75,61
8,75,65
8,75,66
8,75,67
8,75,68
8,75,70
8,75,71
8,75,72
8,75,73
8,75,74
8,75,95
8,75,96
8,76,53
8,76,54
8,76,55
8,76,56
8,76,57
8,76,58
8,76,59
8,76,60
8,76,61
8,76,62
8,76,67
8,76,68
8,76,69
8,76,71
8,76,72
8,76,73
8,76,74
8,76,91
8,76,92
8,76,93
8,76,94
8,76,95
8,77,54
8,77,55
8,77,56
8,77,57
8,77,58
8,77,59
8,77,60
8,77,61
8,77,62
8,77,63
8,77,64
8,77,65
8,77,66
8,77,67
8,77,68
8,77,69
8,77,70
8,77,71
8,77,72
8,77,73
8,77,74
8,77,90
8,77,91
8,77,92
8,77,93
8,77,94
8,77,95
8,78,41
8,78,55
8,78,56
8,78,57
8,78,58
8,78,59
8,78,60
8,78,61
8,78,62
8,78,63
8,78,64
8,78,65
8,78,66
8,78,67
8,78,68
8,78,69
8,78,70
8,78,72
8,78,73
8,78,74
8,78,90
8,78,91
8,78,92
8,78,93
8,79,36
8,79,37
8,79,40
8,79,41
8,79,42
8,79,55
8,79,56
8,79,57
8,79,58
8,79,59
8,79,60
8,79,61
8,79,62
8,79,63
8,79,64
8,79,65
8,79,66
8,79,67
8,79,68
8,79,69
8,79,70
8,79,71
8,79,90
8,79,91
8,79,92
8,79,93
8,80,37
8,80,40
8,80,41
8,80,42
8,80,57
8,80,60
8,80,61
8,80,62
8,80,63
8,80,64
8,80,65
8,80,66
8,80,67
8,80,68
8,80,69
8,80,70
8,80,71
8,80,87
8,80,88
8,80,91
8,80,92
8,80,114
8,80,115
8,81,37
8,81,41
8,81,60
8,81,61
8,81,62
8,81,63
8,81,64
8,81,65
8,81,66
8,81,67
8,81,68
8,81,69
8,81,70
8,81,71
8,81,72
8,81,87
8,81,88
8,81,89
8,81,114
8,82,40
8,82,41
8,82,61
8,82,62
8,82,63
8,82,64
8,82,65
8,82,66
8,82,68
8,82,69
8,82,70
8,82,71
8,82,72
8,82,87
8,83,41
8,83,62
8,83,63
8,83,64
8,83,65
8,83,66
8,84,63
8,84,64
8,84,119
8,86,43
8,86,44
8,86,87
8,86,88
8,87,46
8,87,87
8,87,88
8,88,85
8,88,86
8,88,88
8,89,62
8,89,63
8,89,87
8,90,56
8,90,62
8,90,63
8,91,55
8,91,56
8,91,57
8,91,58
8,91,61
8,92,55
8,92,57
8,92,58
8,92,60
8,92,61
8,102,64
8,103,60
8,103,61
8,103,63
8,104,60
8,104,61
8,105,60
8,108,53
8,118,94
8,118,95
8,118,96
8,119,93
8,119,94
8,119,95
8,119,96
8,119,97
8,119,98
8,119,99
8,120,89
8,120,90
8,120,96
8,120,97
8,120,99
8,121,90
8,121,93
8,121,94
8,122,76
8,122,77
8,122,90
8,122,91
8,122,93
8,122,94
8,122,97
8,123,78
8,123,90
8,123,91
8,123,94
8,123,95
8,123,96
8,123,97
8,123,98
8,123,99
8,124,79
8,124,80
8,124,86
8,124,89
8,124,91
8,124,92
8,124,98
8,124,99
8,124,100
8,125,78
8,126,78
8,126,89
8,127,73
8,127,93
8,127,94
8,128,90
8,128,91
8,128,94
8,129,91
8,129,92
8,129,93
8,129,94
8,130,91
8,130,92
8,130,94
8,131,93
8,132,69
8,132,89
8,132,91
8,132,92
8,133,88
8,133,89
8,133,90
8,133,91
8,133,92
8,134,90
8,134,92
8,134,93
8,134,94
8,135,75
8,135,89
8,135,90
8,135,93
8,135,95
8,135,96
8,136,68
8,136,69
8,136,70
8,136,89
8,136,93
8,136,96
8,137,67
8,137,68
8,137,69
8,137,70
8,137,85
8,137,89
8,138,64
8,138,65
8,138,66
8,138,67
8,138,68
8,138,70
8,138,71
8,138,86
8,138,89
8,139,61
8,139,62
8,139,63
8,139,64
8,139,65
8,139,66
8,139,67
8,139,68
8,139,69
8,139,70
8,139,71
8,139,85
8,139,92
8,139,97
8,140,60
8,140,61
8,140,62
8,140,63
8,140,64
8,140,65
8,140,66
8,140,67
8,140,68
8,140,69
8,140,70
8,140,92
8,141,60
8,141,61
8,141,62
8,141,63
8,141,64
8,141,65
8,141,66
8,141,67
8,141,68
8,141,69
8,141,70
8,141,91
8,141,92
8,141,93
8,142,59
8,142,60
8,142,61
8,142,62
8,142,63
8,142,64
8,142,65
8,142,66
8,142,67
8,142,68
8,142,91
8,142,92
8,142,93
8,142,94
8,142,95
8,142,96
8,143,60
8,143,61
8,143,62
8,143,63
8,143,64
8,143,65
8,143,66
8,143,67
8,143,90
8,143,91
8,143,93
8,143,94
8,143,95
8,143,96
8,143,97
8,143,98
8,144,60
8,144,61
8,144,62
8,144,63
8,144,64
8,144,65
8,144,90
8,144,91
8,144,95
8,144,96
8,144,97
8,144,98
8,145,64
8,145,65
8,145,95
8,145,101
8,146,95
8,146,96
8,146,97
8,146,101
8,147,97
8,147,99
8,148,61
8,148,69
8,148,96
8,148,97
8,148,98
8,148,99
8,148,100
8,149,96
8,149,97
8,149,98
8,149,99
8,149,100
8,150,64
8,150,97
8,150,98
8,150,99
8,150,101
8,151,59
8,151,60
8,151,61
8,151,62
8,151,97
8,151,98
8,151,99
8,151,101
8,152,61
8,152,62
8,152,98
8,152,99
8,152,100
8,153,98
8,153,99
8,153,100
8,154,97
8,154,98
8,154,99
8,155,96
8,155,97
8,155,98
8,155,99
8,156,96
8,156,97
8,156,98
8,157,93
8,157,96
8,157,97
8,157,98
8,158,93
8,158,96
8,158,97
8,158,98
8,159,95
8,159,96
8,159,97
8,159,98
8,159,99
8,160,97
8,160,99
8,160,100
8,160,101
8,161,97
8,161,101
8,161,102
8,162,99
8,162,101
8,162,102
8,165,102
8,165,103
8,166,102
8,167,100
8,168,82
8,168,83
8,168,84
8,168,85
8,169,74
8,169,75
8,169,82
8,169,83
8,169,84
8,169,85
8,169,87
8,170,69
8,170,70
8,170,73
8,170,74
8,170,75
8,170,76
8,170,77
8,170,78
8,170,79
8,170,80
8,170,81
8,170,82
8,170,83
8,170,84
8,171,65
8,171,66
8,171,67
8,171,74
8,171,75
8,171,76
8,171,77
8,171,78
8,171,80
8,171,81
8,171,82
8,171,83
8,171,84
8,171,85
8,171,86
8,172,64
8,172,65
8,172,66
8,172,84
8,173,63
8,173,64
8,174,62
8,174,63
8,175,61
8,175,62
8,191,72
8,192,73
8,192,74
8,198,55
8,199,55
8,200,54
8,200,55
8,200,59
8,200,60
8,201,55
8,202,56
8,202,57
8,204,56
8,204,57
8,205,57
8,205,58
8,206,57
8,206,58
8,207,58
8,208,58
8,210,54
8,210,55
8,210,143
8,211,54
8,211,55
8,211,142
8,211,143
8,212,142
8,212,143
8,213,142
8,213,143
8,215,139
8,216,138
8,216,139
8,216,150
8,217,138
8,217,139
8,217,141
8,218,140
8,218,141
8,218,146
8,218,147
8,219,139
8,219,140
8,219,146
8,219,147
8,220,144
8,220,145
8,220,147
8,221,147
8,221,150
8,221,151
8,222,149
8,222,150
8,222,151
8,223,145
8,223,147
8,223,149
8,223,150
8,223,151
8,227,62
8,227,142
8,227,143
8,228,59
8,228,60
8,228,142
8,228,143
8,229,49
8,229,50
8,229,65
8,230,139
8,230,141
8,231,139
8,231,140
8,231,141
8,231,142
8,231,160
8,231,161
8,232,141
8,232,142
8,232,145
8,232,152
8,232,156
8,232,157
8,232,160
8,232,161
8,233,142
8,233,144
8,233,145
