z,x,y,source_id,n_features
5,0,0,2,2
5,0,1,2,5
5,0,2,2,6
5,0,3,2,11
5,0,4,2,10
5,0,5,2,5
5,0,6,2,30
5,0,7,2,171
5,0,8,2,320
5,0,9,7,51
5,0,9,2,11
5,0,10,7,126
5,0,11,7,1
5,0,17,154,14
5,0,20,154,3
5,1,0,2,4
5,1,1,2,8
5,1,2,2,6
5,1,3,2,3
5,1,4,2,9
5,1,5,2,10
5,1,6,2,14
5,1,7,2,286
5,1,8,2,344
5,1,9,7,161
5,1,9,2,133
5,1,10,7,200
5,1,11,7,45
5,1,13,154,4
5,1,14,154,3
5,1,15,154,2
5,1,17,154,1
5,1,27,154,2
5,1,28,154,1
5,2,0,2,6
5,2,1,2,10
5,2,2,2,6
5,2,3,2,4
5,2,4,2,9
5,2,5,2,7
5,2,6,2,11
5,2,7,2,553
5,2,8,2,787
5,2,9,7,256
5,2,9,2,291
5,2,10,7,50
5,2,11,7,62
5,2,12,7,19
5,2,13,7,2
5,2,14,154,5
5,2,15,154,1
5,2,16,154,2
5,2,17,154,3
5,2,26,154,2
5,2,27,154,3
5,2,28,154,1
5,2,29,154,1
5,2,30,154,1
5,2,31,154,1
5,3,0,2,3
5,3,1,2,6
5,3,2,2,4
5,3,3,2,2
5,3,4,2,2
5,3,5,2,2
5,3,6,2,5
5,3,7,2,501
5,3,8,2,1007
5,3,9,7,282
5,3,9,2,388
5,3,10,7,84
5,3,11,7,70
5,3,12,7,70
5,3,13,7,109
5,3,14,7,3
5,3,16,154,4
5,3,17,154,1
5,3,26,154,4
5,3,27,154,2
5,3,28,154,1
5,3,29,154,1
5,3,30,154,1
5,3,31,154,1
5,4,0,2,2
5,4,1,2,3
5,4,2,2,2
5,4,3,2,7
5,4,4,2,5
5,4,5,2,6
5,4,6,2,21
5,4,7,2,120
5,4,8,2,657
5,4,9,7,694
5,4,9,2,373
5,4,10,7,1245
5,4,11,7,515
5,4,12,7,158
5,4,13,7,158
5,4,14,7,11
5,4,18,154,1
5,4,25,154,1
5,4,26,154,4
5,4,27,154,2
5,4,28,154,1
5,4,29,154,1
5,4,30,154,1
5,4,31,154,1
5,5,0,2,2
5,5,1,2,2
5,5,2,2,2
5,5,3,2,6
5,5,4,2,34
5,5,5,2,200
5,5,6,2,111
5,5,7,2,229
5,5,8,2,508
5,5,9,2,44
5,5,9,7,71
5,5,10,7,982
5,5,11,7,1309
5,5,12,7,1742
5,5,13,7,517
5,5,14,7,141
5,5,15,7,39
5,5,25,154,2
5,5,26,154,4
5,5,27,154,2
5,5,28,154,1
5,5,29,154,1
5,5,30,154,1
5,5,31,154,1
5,6,0,2,2
5,6,1,2,3
5,6,2,2,4
5,6,3,2,7
5,6,4,2,107
5,6,5,2,245
5,6,6,2,87
5,6,7,2,432
5,6,8,2,724
5,6,9,7,256
5,6,9,2,248
5,6,10,7,165
5,6,11,7,790
5,6,12,7,1083
5,6,13,7,1454
5,6,14,7,294
5,6,15,7,33
5,6,18,154,1
5,6,25,154,3
5,6,26,154,3
5,6,27,154,2
5,6,28,154,1
5,6,29,154,1
5,6,30,154,1
5,6,31,154,1
5,7,0,2,3
5,7,1,2,4
5,7,2,2,52
5,7,3,2,246
5,7,4,2,243
5,7,5,2,412
5,7,6,2,156
5,7,7,2,337
5,7,8,2,921
5,7,9,7,172
5,7,9,2,277
5,7,10,7,473
5,7,11,7,315
5,7,12,7,289
5,7,13,7,632
5,7,14,7,866
5,7,15,7,51
5,7,15,154,3
5,7,16,154,5
5,7,25,154,5
5,7,26,154,3
5,7,27,154,1
5,7,28,154,1
5,7,29,154,1
5,7,30,154,1
5,7,31,154,1
5,8,0,2,3
5,8,1,2,35
5,8,2,2,280
5,8,3,2,407
5,8,4,2,521
5,8,5,2,354
5,8,6,2,366
5,8,7,2,370
5,8,8,2,180
5,8,9,7,89
5,8,9,2,17
5,8,10,7,411
5,8,11,7,713
5,8,12,7,542
5,8,13,7,336
5,8,14,7,769
5,8,15,154,3
5,8,15,7,257
5,8,16,154,22
5,8,19,154,1
5,8,25,154,1
5,8,26,154,1
5,8,27,154,2
5,8,28,154,2
5,8,29,154,1
5,8,30,154,2
5,8,31,154,2
5,9,0,2,6
5,9,1,2,112
5,9,2,2,262
5,9,3,2,219
5,9,4,2,202
5,9,5,2,49
5,9,6,2,317
5,9,7,2,626
5,9,8,2,553
5,9,9,2,122
5,9,9,7,205
5,9,10,7,343
5,9,11,7,1124
5,9,12,7,404
5,9,13,7,303
5,9,14,7,837
5,9,15,7,351
5,9,15,154,40
5,9,16,154,43
5,9,17,154,83
5,9,18,154,53
5,9,19,154,51
5,9,20,154,108
5,9,21,154,140
5,9,22,154,1
5,9,24,154,8
5,9,25,154,4
5,9,26,154,1
5,9,27,154,2
5,9,28,154,3
5,9,29,154,2
5,9,30,154,3
5,9,31,154,2
5,10,0,2,4
5,10,1,2,32
5,10,2,2,127
5,10,3,2,54
5,10,4,2,44
5,10,5,2,126
5,10,6,2,31
5,10,7,2,195
5,10,8,2,302
5,10,9,7,272
5,10,9,2,32
5,10,10,7,656
5,10,11,7,675
5,10,12,7,268
5,10,13,7,1088
5,10,14,7,668
5,10,15,7,337
5,10,15,154,33
5,10,16,154,60
5,10,17,154,74
5,10,18,154,36
5,10,19,154,24
5,10,20,154,14
5,10,21,154,18
5,10,22,154,3
5,10,23,154,20
5,10,24,154,3
5,10,25,154,1
5,10,26,154,1
5,10,27,154,1
5,10,28,154,1
