dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score,chrysotile,amphibole,dist_km,um_class
10001165,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10001165,A011862,,Jade Mountain,67.20952,-158.0535,,United States,Alaska,,N,Jade,Asbestos,,Unknown,,,Past Producer,"Chrysotile, Tremolite, Nephrite, Jade",,,,,18: Serpentine-hosted asbestos,,,,,"J.M. Schmidt, R.L. Elliott, K.R. Leonard",Yukon-Koyukuk Ophiolite,Peridotite,,Peridotite,,,"Anderson, Eskil, 1945, Asbestos and jade occurrences in the Kobuk River region, Alaska: Alaska Territorial Department of Mines Pamphlet 3-R, 48 p.Anderson, Eskil, 1947, Mineral occurrences other than gold deposits in northwestern Alaska: Alaska Territorial Division of Mines Pamphlet 5-R, 48 p.Heide, H.E., Wright, W.S., and Rutledge, F.A., 1949, Investigations of the Kobuk River asbestos deposits, Kobuk district, northwest Alaska: U.S. Bureau of Mines Report of Investigations 4414, 25 p.",,,,,,,,,B,True,True,0.0,major
10001169,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10001169,A011867,,Shungnak Rivers,67.03064,-157.23846,,United States,Alaska,,M,Gold,"Copper, Silver, Jade, Asbestos",,Unknown,,,Past Producer,"Asbestos, Nephrite, Copper, Silver",,,,,119: Placer Au-PGE,,,Shingnek Creek,,"K.R. Leonard, S.W. Nelson, J.M. Schmidt, R.L. Elliott",,Gravel,,,,,"Anderson, Eskil, 1945, Asbestos and jade occurrences in the Kobuk River region, Alaska: Alaska Territorial Department of Mines Pamphlet 3-R, 48 p.Anderson, Eskil, 1947, Mineral occurrences other than gold deposits in northwestern Alaska: Alaska Territorial Division of Mines Pamphlet 5-R, 48 p.Fritts, C.E., 1970, Geology and geochemistry of the Cosmos Hills, Ambler River and Shungnak River Quadrangles, Alaska: Alaska Division of Geological and Geophysical Surveys Geological Report 39, 63 p., 4 sheets, scale 1:63,360.Mayfield, C.F. and Grybeck, D., 1978, Mineral occurrences and resource map of the Ambler river quadrangle, Alaska: U.S. Geological Survey Open-File Report 78-120I, 1 sheet, scale 1:250,000.Reed, I.M., 1931, Report on the placer deposits of the upper Kobuk goldfields: Alaska Territorial Department of Mines Miscellaneous Report 37-1, 33 p.Smith. P.S., 1913, The Noatak-Kobuk region, Alaska: U.S. Geological Survey Bulletin 536, 60 p.",,,,,,,,,B,False,False,23.0,major
10001175,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10001175,A011876,,Dahl Creek Head,67.00843,-156.82845,,United States,Alaska,,N,Asbestos,"Talc-Soapstone, Jade",,Unknown,,,Past Producer,"Chrysotile, Nephrite, Quartz, Talc, Tremolite",,,,,18: Serpentine-hosted asbestos,,,"Asbestos Mountain, Ing-Ink",,"K.R. Leonard, J.M. Schmidt, R.L. Elliott, S.W. Nelson",,Serpentinite,,,,,"Anderson, Eskil, 1945, Asbestos and jade occurrences in the Kobuk River region, Alaska: Alaska Territorial Department of Mines Pamphlet 3-R, 48 p.Anderson, Eskil, 1947, Mineral occurrences other than gold deposits in northwestern Alaska: Alaska Territorial Division of Mines Pamphlet 5-R, 48 p.Fritts, C.E., 1970, Geology and geochemistry of the Cosmos Hills, Ambler River and Shungnak River Quadrangles, Alaska: Alaska Division of Geological and Geophysical Surveys Geological Report 39, 63 p., 4 sheets, scale 1:63,360.Heide, H.E., Wright, W.S., and Rutledge, F.A., 1949, Investigations of the Kobuk River asbestos deposits, Kobuk district, northwest Alaska: U.S. Bureau of Mines Report of Investigations 4414, 25 p.Mayfield, C.F. and Grybeck, D., 1978, Mineral occurrences and resource map of the Ambler river quadrangle, Alaska: U.S. Geological Survey Open-File Report 78-120I, 1 sheet, scale 1:250,000.Reed, I.M., 1931, Report on the placer deposits of the upper Kobuk goldfields: Alaska Territorial Department of Mines Miscellaneous Report 37-1, 57 p",,,,,,,,,B,True,True,46.5,major
10004963,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10004963,AR11158,,Cerro San Antonio,-32.58079,-69.1828,SA,Argentina,Mendoza,,N,Asbestos,,,Unknown,,S,Producer,Serpentine,,,,,,,,,,"Venable, Margaret",,,,,,,"ANGELELLI, V., ET.AL., 1983, LOS YACIMIENTOS MINERALES Y NO METALIFEROS Y ROCAS DE APLICACION DE LA REGION CENTRO CUYO: MINISTERIO DE ECONOMIA, SUBSECRETARIA DE MINERIA, ANALES, VOL. 19,PCIMRI",,,,,,,,,D,True,False,5526.3,major
10004965,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10004965,AR11160,,Uspallata- Villavicencio,-32.63079,-69.24948,SA,Argentina,Mendoza,,N,"Talc-Soapstone, Asbestos",,,Unknown,Replacement,S,Past Producer,Talc,"Actinolite, Calcite, Chlorite, Chrysotile, Graphite",,LENSES,Surface/Underground,20: Ultramafic hosted magnesite,,,,,"Venable, Margaret",,"Phyllite,Schist,Serpentinite",,,N-S Alignment Of Tectonic Elements.,,"ANGELELLI, V., ET.AL., 1983, LOS YACIMIENTOS MINERALES Y NO METALIFEROS Y ROCAS DE APLICACION DE LA REGION CENTRO CUYO: MINISTERIO DE ECONOMIA, SUBSECRETARIA DE MINERIA, ANALES, VOL. 19,P. 254-255, 143-150CIMRIANGELELLI, P. 146-150.",,,,,,,SINCE 1930'S,,B,True,True,5532.5,major
10005569,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10005569,AR16114,,Quebrada Agua Del Gato,-31.43078,-68.16612,SA,Argentina,San Juan,,N,Talc-Soapstone,Asbestos,,Unknown,,S,Producer,"Asbestos, Talc",,,LENSE,,,,,"Don Leon, El Triunfo",,"Venable, Margaret",Crystalline Schists;Serpentinite,Serpentinite,,,"Schistocity N30-48w, Dip 25-40",,"ANGELELLI, V., ET. AL., 1980, LOS YACIMIENTOS MINERALES Y NO METALIFEROS Y ROCAS DE APLICACION DE LA REGION CENTRO CUYO:  MINISTERIO DE ECONOMIA, SUBSECRETARIA DE MINERIA, ANALES, VOL. 19, P. 154-155CIMRIANGELELLI, P. 153.",,,,,,,1953-PRESENT,,C,True,False,5387.4,major
10006136,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006136,BL20075,,Alto Chapare Mine,-17.081,-65.49945,SA,Bolivia,Cochabamba,,B,Magnesite,,"Talc-Soapstone, Asbestos",Unknown,,S,Past Producer,"Magnesite, Talc","Calcite, Dolomite, Limonite, Quartz",,BLANKET,Unknown,67: Carbonate-hosted magnesite-talc,Metamorphism Of Magnesite-Talc To Asbestos,,"El Limbo, La Cascada, El Puente, Murillo, San Carlos, La Paz, Sal Si Puedes, Magdalena",,"Guerra, Edwin, Long, Keith R.",,"Slate,Quartzite,Siltstone,Sandstone",,,,,"MURILLO, J., AND FLORES, O., 1967, GEOBOL INFORME GE/2-M-2 ARCHIVO MINTEC.TAPIA, OSCAR, 1970, INFORME INTERNO ALTO CHAPARE.GUSTAVSON ASSOC., 1992, COMPENDIUM OF THE ECONOMIC GEOLOGY OF BOLIVIACIMRI",,,,,,1850.0,,,C,False,False,3642.8,major
10006491,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006491,BL30029,,Unnamed Mine,-17.11989,-65.62806,SA,Bolivia,Cochabamba,,N,Asbestos,,,Unknown,Stockwork,S,Past Producer,Crocidolite,,,,,,Metamorphosed,,,,"Long, Keith R.",Limbo Formation,"Shale,Sandstone",,,,,"AHLFELD, F. AND SCHNEIDER-SCHERBINA, A., 1964, LOS YACIMIENTOS MINERALES Y DE HIDROCARBUROS DE BOLIVIA:  DEPARTAMENTO NACIONAL DE GEOLOGIA BOLETIN 5, P. 317-320CIMRI",,,,,,,1937-,,D,False,True,3648.8,major
10006492,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006492,BL30030,,Miguilla Mine,-17.09656,-65.54389,SA,Bolivia,Cochabamba,,N,Asbestos,,,Unknown,Stockwork,S,Past Producer,Crocidolite,,,,,,Metamorphosed,,,,"Long, Keith R.",Limbo Formation,"Shale,Sandstone",,,Limbo Fm Shale Thrust Over Ordovician.,,"AHLFELD, F., AND SCHNEIDER-SCHERBINA, A., 1964, LOS YACIMIENTOS MINERALES Y DE HIDROCARBUROS DE BOLIVIA:  DEPARTAMENTO NACIONAL DE GEOLOGIA BOLETIN 5, P. 317-320CIMRI",,,,,,,1937-,,D,False,True,3645.1,major
10006493,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006493,BL30031,,Silvita Mine,-17.08406,-65.61612,SA,Bolivia,Cochabamba,,N,Asbestos,,,Unknown,Stockwork,S,Past Producer,Crocidolite,,,,,,Metamorphosed,,,,"Long, Keith R.",Limbo Formation,"Shale,Sandstone",,,,,"AHLFELD, F., AND SCHNEIDER-SCHERBINA, A., 1964, LOS YACIMIENTOS MINERALES Y DE HIDROCARBUROS DE BOLIVIA: DEPARTAMENTO NACIONAL DE GEOLOGIA BOLETIN 5, P. 317-320CIMRI",,,,,,,1937-,,D,False,True,3644.3,major
10006494,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006494,BL30032,,Elena Mine,-17.02267,-65.62278,SA,Bolivia,Cochabamba,,N,Asbestos,,,Unknown,Stockwork,S,Past Producer,Crocidolite,,,,,,Metamorphosed,,,,"Long, Keith R.",Limbo Formation,"Shale,Sandstone",,,,,"AHLFELD, F., AND SCHNEIDER-SCHERBINA, A., 1964, LOS YACIMIENTOS MINERALES Y DE HIDROCARBUROS DE BOLIVIA:  DEPARTAMENTO NACIONAL DE GEOLOGIA BOLETIN 5, P. 317-320CIMRI",,,,,,,1937-,,D,False,True,3636.8,major
10006495,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10006495,BL30033,,Marta Mine,-17.04323,-65.63528,SA,Bolivia,Cochabamba,,N,Asbestos,,,Unknown,Stockwork,S,Past Producer,Crocidolite,,,,,,Metamorphosed,,,,"Long, Keith R.",Limbo Formation,"Shale,Sandstone",,,,,"AHLFELD, F., AND SCHNEIDER-SCHERBINA, A., 1964, LOS YACIMIENTOS MINERALES Y DE HIDROCARBUROS DE BOLIVIA: DEPARTAMENTO NACIONAL DE GEOLOGIA BOLETIN 5, P. 317-320CIMRI",,,,,,,1937-,,D,False,True,3639.5,major
