dep_id,site_name,latitude,longitude,country,state,commod1,commod2,commod3,dev_stat,prod_size,ore,gangue,hrock_type,hrock_unit,asbestos,ultramafic_host_text
10118621,Western Operations - Combined,-30.49611,121.29921,Australia,Western Australia,Nickel,Copper,Cobalt,Producer,,,,,,False,False
10039169,Opapel',64.45807,165.2735,Russia,,,,Platinum,Occurrence,N,,,,,False,False
10043205,Chrome Milling Co.,42.36105,-123.55343,United States,Oregon,Chromium,,,Producer,S,,,,,False,False
10060849,"Rio Sao Francisco, Rio Santana",-14.4644,-56.83258,Brazil,Mato Grosso,Diamond,,,Producer,Y,,,Gravel,,False,False
10183303,(Facility) Impala Smelter,-27.16329,25.75149,South Africa,,"PGE, Copper, Nickel",,,Plant,,,,,,False,False
10000032,Unnamed Occurrence,55.52749,-133.63656,United States,Alaska,Copper,,"Molybdenum, Nickel",Occurrence,N,"Chalcopyrite, Pyrrhotite",,Schist,,False,False
10000117,Sultana Prospect,55.28584,-132.56569,United States,Alaska,Copper,,"Nickel, Cobalt",Occurrence,N,"Chalcopyrite, Pyrrhotite","Calcite, Epidote, Garnet, Magnetite",Limestone,,False,False
10000224,Mallard Bay Occurrence,54.77612,-132.01843,United States,Alaska,Iron,,,Occurrence,N,Magnetite,,Pyroxenite,,False,True
10000248,Bear Creek (lower),59.40927,-161.13271,United States,Alaska,Gold,Platinum,,Past Producer,,Gold,,Volcanic Rock (Aphanitic),Gemuk Group,False,False
10000250,North Spit (Goodnews Bay),59.06925,-161.87269,United States,Alaska,"Chromium, Gold",,,Occurrence,,"Chromite, Gold, Magnetite",,,,False,False
10000260,Olympic Creek,59.33927,-161.22271,United States,Alaska,Gold,Platinum,,Past Producer,,Gold,,Volcanic Rock (Aphanitic),Gemuk Group,False,False
10000265,Goodnews Bay,59.08925,-161.75269,United States,Alaska,Platinum,Mercury,Diamond,Occurrence,,"Cinnabar, Diamond, Mercury",,,,False,False
10000290,Unnamed (vicinity Kane Peak),56.98363,-133.09883,United States,Alaska,PGE,,,Occurrence,,"Chalcopyrite, Chromite, Magnetite, Pentlandite, Pyrrhotite",,Pyroxenite,,False,True
10000367,Unnamed [on Pete Dahl (Copper Sands) Island],60.3496,-145.54247,United States,Alaska,Gold,"Chromium, Iron, Nickel, Titanium, Zirconium, Vanadium, Manganese",,Occurrence,,,,,,False,False
10001107,Emerick Prospect,63.3566,-145.69856,United States,Alaska,"Nickel, Copper",,,Prospect,S,"Chalcopyrite, Pentlandite",,Peridotite,,False,True
10000500,Bohemia Basin Prospect,57.97471,-136.42427,United States,Alaska,"Nickel, Copper",Cobalt,,Prospect,N,"Chalcopyrite, Pentlandite, Pyrrhotite",,Norite,,False,False
10000416,Anchor Point,59.76752,-151.86647,United States,Alaska,Gold,Platinum,,Past Producer,,Gold,,Till,,False,False
10000467,Unnamed (on Red Mountain),59.34946,-151.49254,United States,Alaska,Chromium,Nickel,,Past Producer,,Chromite,,Dunite,,False,True
10000468,Reef,59.20946,-151.82253,United States,Alaska,Chromium,,,Past Producer,,Chromite,,Siltstone,,False,False
10000469,Mills & Trimble,59.25946,-151.56253,United States,Alaska,"Silver, Gold","Copper, Nickel",,Prospect,,"Arsenopyrite, Chalcopyrite, Gold, Pyrite","Calcite, Quartz",,,False,False
10000487,Claim Point,59.20946,-151.82253,United States,Alaska,Chromium,Iron,,Past Producer,,"Chromite, Magnetite","Olivine, Pyroxene",Dunite,,False,True
10000488,Red Mountain,59.35779,-151.48032,United States,Alaska,Chromium,,"Nickel, Cobalt",Past Producer,S,"Chromite, Olivine",,Dunite,,False,True
10000502,Admiralty-Alaska Mine,58.22752,-134.86591,United States,Alaska,Gold,,"Lead, Zinc, Copper, Nickel, Cobalt",Past Producer,S,"Chalcopyrite, Galena, Gold, Pentlandite, Pyrrhotite, Sphalerite",Pyrite,Hornblendite,,False,False
10000533,Cache Creek Area,62.49954,-150.96946,United States,Alaska,Gold,"Copper, Tin, Tungsten",Platinum,Occurrence,S,"Cassiterite, Copper, Gold, Scheelite","Garnet, Ilmenite, Magnetite, Pyrite, Zircon",Gravel,,False,False
10000537,Arolik & Goodnews River Area,59.34094,-161.25271,United States,Alaska,Gold,Platinum,,Past Producer,S,"Gold, Platinum",,Gravel,,False,False
10000542,Long Area,64.33838,-155.49752,United States,Alaska,Gold,"Silver, Tin, Platinum",,Past Producer,S,"Cassiterite, Gold, Platinum",,,,False,False
